created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Oct 28 23:58:27 +0000 2023;1718416972432765377;"@aniesbaswedan @NasDem @PKSejahtera @DPP_PKB @cakimiNOW bareng² jg.  Tp, sejak melihat kinerja pak Anies di DKI. Rekam jejak &amp  Gagasan beliau, membuat saya bergairah kembali mengikuti politik Indonesia. 😅🥰❤";0;0;0;0;in;1697812455353917440;1718412235914322247;yandilaughtale;https://twitter.com/yandilaughtale/status/1718416972432765377
Sat Oct 28 23:53:06 +0000 2023;1718415624089829657;"@KompasTV Awokwokwokwok Itulah seninya politik semua orang mempunyai pandang berbeda arti politik ada yg mengartikan pol itik dan ada yg bilang poli tik 🤣🤣 semangat untuk pesta rakyat Indonesia";0;0;0;0;in;460938992;1718261227313561798;Lian_2791;https://twitter.com/Lian_2791/status/1718415624089829657
Sat Oct 28 23:47:52 +0000 2023;1718414309225861121;"Politik panggung sandiwara, jangan terkecoh dengan permainan mereka karena mereka hanya sedang bermain drama untuk menuju jokowi 3 periode.   Terus dukung PERUBAHAN  AMIN kan Indonesia Raya 🇮🇩 https://t.co/KJkyJBFxFK";0;0;0;1;in;1709391484393603072;1718414309225861121;TobatoO16624;https://twitter.com/TobatoO16624/status/1718414309225861121
Sat Oct 28 23:44:30 +0000 2023;1718413460621742252;"@kevynsaverio @alextham878 Karena otaknya dikepala maka berfikir seperti itu, kalau HALU pasti berteori macem2. Bicara aturan betul tapi di Indonesia secara psikologi nomor urut berpengaruh &amp  disitulah Dinasti Politik berlaku 😂https://t.co/ECM8QObtaW";0;0;0;1;in;1642028091886424064;1718293472732692945;priatamvan88;https://twitter.com/priatamvan88/status/1718413460621742252
Sat Oct 28 23:44:19 +0000 2023;1718413416061386872;"@03__nakula Tolonglah politik devide et impera jangan dibangkitkan lagi, masa mau balik lagi ke masa kolonial? Mau dukung Prabowo, Ganjar, Anis semuanya satu Indonesia.  https://t.co/hvumPG0wsK";0;0;0;0;in;1530480135337820161;1718211560664150141;kelapamuda0468;https://twitter.com/kelapamuda0468/status/1718413416061386872
Sat Oct 28 23:42:36 +0000 2023;1718412983196655879;"@officialMKRI @mohmahfudmd etika politik sebaiknya calon calon capres cawapres mundur lah dari jabatan walau di bolehkan uud... Etika mu harga dirimu pasti ada kepentingan @prabowo";0;0;0;0;in;1446489145950367745;1718412983196655879;cahaya08nkri78;https://twitter.com/cahaya08nkri78/status/1718412983196655879
Sat Oct 28 23:37:58 +0000 2023;1718411818304225556;"males mantau chelsea lagi. mantau politik aja dah";0;0;0;0;in;1147328540662099968;1718411818304225556;CHELFANIDN;https://twitter.com/CHELFANIDN/status/1718411818304225556
Sat Oct 28 23:32:14 +0000 2023;1718410374339551281;"@kafiradikalis Kalu bukan keluarga tapi terkoneksi sama "kelompok" mereka juga banyak kan ya elit politik di Indonesia ini, kisi² dong...";0;0;0;0;in;275549130;1718196123893195179;unromanticromeo;https://twitter.com/unromanticromeo/status/1718410374339551281
Sat Oct 28 23:29:46 +0000 2023;1718409755352592657;"Dua ketua tim pemenangan bacapres 2024 yakni Arsjad Rasjid di kubu Ganjar Pranowo dan Rosan Roeslani di kubu Prabowo Subianto yang berlatar belakang pengusaha agaknya menyingkap rahasia sekaligus pergeseran tren di blantika politik Indonesia.  https://t.co/DWa7T3YgIF";0;0;0;1;in;798770586784702464;1718409755352592657;pinterpolitik;https://twitter.com/pinterpolitik/status/1718409755352592657
Sat Oct 28 23:29:06 +0000 2023;1718409586150105297;"@apriyadidit @SiaranBolaLive @kikysaputrii Mengingatkan sistem politik luar negeri Indonesia BEBAS AKTIF,artinya bebas tidak memihak dan dipengaruhi siapapun, dan aktif mengusahakan perdamaian dunia. Itu Bung Karno yang mencetuskan. Kalo benci Israel, hilang tuh bebas aktif";0;0;0;0;in;1706916062355398656;1718163710320206244;ciriev;https://twitter.com/ciriev/status/1718409586150105297
